id,label,desc,id_no_prefix,domain,range
http://dbpedia.org/ontology/location,location,The location of the thing.,location,,Place
http://dbpedia.org/ontology/birthPlace,birth place,where the person was born,birthPlace,Animal,Place
http://dbpedia.org/ontology/deathPlace,death place,The place where the person died.,deathPlace,Animal,Place
http://dbpedia.org/ontology/wikiPageID,Wikipage page ID,Reserved for DBpedia.,wikiPageID,,
http://dbpedia.org/ontology/wikiPageRevisionID,Wikipage revision ID,Reserved for DBpedia.,wikiPageRevisionID,,
http://dbpedia.org/ontology/wikiPageWikiLink,Link from a Wikipage to another Wikipage,Reserved for DBpedia.,wikiPageWikiLink,,
http://dbpedia.org/ontology/wikiPageExternalLink,Link from a Wikipage to an external page,Reserved for DBpedia.,wikiPageExternalLink,,
http://dbpedia.org/ontology/wikiPageRedirects,Wikipage redirect,Reserved for DBpedia.,wikiPageRedirects,,
http://dbpedia.org/ontology/wikiPageDisambiguates,Wikipage disambiguates,Reserved for DBpedia.,wikiPageDisambiguates,,
http://dbpedia.org/ontology/place,Relates an entity to the populated place in which it is located.,Relates an entity to the populated place in which it is located.,place,,PopulatedPlace
http://dbpedia.org/ontology/deathDate,death date,death date,deathDate,Animal,
http://dbpedia.org/ontology/birthDate,birth date,birth date,birthDate,Animal,
http://dbpedia.org/ontology/thumbnail,thumbnail,Reserved for DBpedia.,thumbnail,,Image
http://dbpedia.org/ontology/building,building,building,building,Island,Building
http://dbpedia.org/ontology/work,work,work,work,FictionalCharacter,
http://dbpedia.org/ontology/wikiPageInterLanguageLink,Link from a Wikipage to a Wikipage in a different language about the same or a related subject.,Reserved for DBpedia.,wikiPageInterLanguageLink,,
http://dbpedia.org/ontology/restingPlacePosition,resting place position,resting place position,restingPlacePosition,Person,
http://dbpedia.org/ontology/mouthPosition,mouth position,mouth position,mouthPosition,River,
http://dbpedia.org/ontology/sourcePosition,source position,source position,sourcePosition,,
http://dbpedia.org/ontology/abstract,has abstract,Reserved for DBpedia.,abstract,,
http://dbpedia.org/ontology/taoiseach,taoiseach,head of government of Ireland,taoiseach,,Person
http://dbpedia.org/ontology/vehiclesInFleet,vehicle types in fleet,Points out means of transport contained in the companies vehicle fleet.,vehiclesInFleet,PublicTransitSystem,MeanOfTransportation
http://dbpedia.org/ontology/congressionalDistrict,congressional district,congressional district,congressionalDistrict,AdministrativeRegion,
http://dbpedia.org/ontology/growingGrape,growing grape,growing grape,growingGrape,WineRegion,Grape
http://dbpedia.org/ontology/jointCommunity,joint community,joint community,jointCommunity,Settlement,PopulatedPlace
http://dbpedia.org/ontology/parish,parish,parish,parish,PopulatedPlace,PopulatedPlace
http://dbpedia.org/ontology/spokesperson,spokesperson,spokesperson,spokesperson,PoliticalParty,Person
http://dbpedia.org/ontology/unitaryAuthority,unitary authority,unitary authority,unitaryAuthority,PopulatedPlace,PopulatedPlace
http://dbpedia.org/ontology/vicePrimeMinister,vice prime minister,vice prime minister,vicePrimeMinister,,Person
http://dbpedia.org/ontology/wineProduced,wine produced,wine produced,wineProduced,WineRegion,
http://dbpedia.org/ontology/associate,associate,associate,associate,,Person
http://dbpedia.org/ontology/clubsRecordGoalscorer,clubs record goalscorer,clubs record goalscorer,clubsRecordGoalscorer,SoccerClub,Person
http://dbpedia.org/ontology/firstWin,first win,first win,firstWin,FormulaOneRacer,GrandPrix
http://dbpedia.org/ontology/firstWinner,first winner,first winner,firstWinner,Race,Person
http://dbpedia.org/ontology/largestSettlement,largest settlement,largest settlement,largestSettlement,PopulatedPlace,PopulatedPlace
http://dbpedia.org/ontology/lastWin,last win,last win,lastWin,FormulaOneRacer,GrandPrix
http://dbpedia.org/ontology/localAuthority,local authority,local authority,localAuthority,,
http://dbpedia.org/ontology/managingEditor,managing editor,managing editor,managingEditor,Newspaper,Person
http://dbpedia.org/ontology/mostWins,most wins,most wins,mostWins,Race,
http://dbpedia.org/ontology/recentWinner,recent winner,recent winner,recentWinner,Race,Person
http://dbpedia.org/ontology/ruralMunicipality,rural municipality,rural municipality,ruralMunicipality,Road,PopulatedPlace
http://dbpedia.org/ontology/subsequentInfrastructure,subsequent infrastructure,subsequent infrastructure,subsequentInfrastructure,Infrastructure,Infrastructure
http://dbpedia.org/ontology/superintendent,superintendent,superintendent,superintendent,Organisation,Person
http://dbpedia.org/ontology/whaDraftTeam,wha draft team,wha draft team,whaDraftTeam,IceHockeyPlayer,HockeyTeam
http://dbpedia.org/ontology/inchi,The IUPAC International Chemical Identifier,The IUPAC International Chemical Identifier,inchi,ChemicalCompound,
http://dbpedia.org/ontology/bioavailability,Bioavailability,"""The rate and extent to which the active ingredient or active moiety is absorbed from a drug product and becomes available at the site of action. For drug products that are not intended to be absorbed into the bloodstream, bioavailability may be assessed by measurements intended to reflect the rate and extent to which the active ingredient or active moiety becomes available at the site of action (21CFR320.1).""",bioavailability,Drug,
http://dbpedia.org/ontology/dressCode,dress code,The recommended dress code for an establishment or event.,dressCode,Restaurant,
http://dbpedia.org/ontology/facultySize,faculty size,number of faculty members,facultySize,EducationalInstitution,
http://dbpedia.org/ontology/finalPublicationYear,final publication year,Year of the final publication.,finalPublicationYear,PeriodicalLiterature,
http://dbpedia.org/ontology/impactFactor,impact factor,"The impact factor, often abbreviated IF, is a measure reflecting the average number of citations to articles published in science and social science journals.",impactFactor,AcademicJournal,
http://dbpedia.org/ontology/impactFactorAsOf,impact factor as of,Census year of the imapct factor.,impactFactorAsOf,AcademicJournal,
http://dbpedia.org/ontology/lineLength,line length (μ),Length of the line. Wikipedians usually do not differentiate between track length and line lenght.,lineLength,RouteOfTransportation,Length
http://dbpedia.org/ontology/maximumDepth,maximum depth (μ),Source of the value can be declare by .,maximumDepth,Place,Length
http://dbpedia.org/ontology/numberOfLawyers,number of lawyers,Number of lawyers or attorneys in the company.,numberOfLawyers,LawFirm,
http://dbpedia.org/ontology/numberOfStations,number of stations,Number of stations or stops.,numberOfStations,RouteOfTransportation,
http://dbpedia.org/ontology/openAccessContent,open access content,Availability of open access content.,openAccessContent,PeriodicalLiterature,
http://dbpedia.org/ontology/worldChampionTitleYear,year of world champion title,can be one or several years,worldChampionTitleYear,Athlete,
http://dbpedia.org/ontology/activeCases,Active Cases,وبائی مرض میں فعال کیسوں کی تعداد,activeCases,Outbreak,
http://dbpedia.org/ontology/anthem,anthem,"Official song (anthem) of a PopulatedPlace, SportsTeam, School or other",anthem,,Work
http://dbpedia.org/ontology/careerStation,career station,"this property links to a step in the career of a person, e.g. a soccer player, holding information on the time span, matches and goals he or she achieved at a club.",careerStation,Person,CareerStation
http://dbpedia.org/ontology/county,county,The county where the thing is located.,county,,PopulatedPlace
http://dbpedia.org/ontology/diocese,diocese,A religious administrative body above the parish level,diocese,,Diocese
http://dbpedia.org/ontology/honours,honours,"Honours bestowed upon a Person, Organization, RaceHorse, etc",honours,,
http://dbpedia.org/ontology/importantStation,important station,"Destinations, depots, junctions, major stops, hubs...",importantStation,PublicTransitSystem,Station
http://dbpedia.org/ontology/movement,movement,artistic movement or school with which artist is associated,movement,Artist,
http://dbpedia.org/ontology/notableWork,notable work,"Notable work created by the subject (eg Writer, Artist, Engineer) or about the subject (eg ConcentrationCamp)",notableWork,,Work
http://dbpedia.org/ontology/nrhpType,NRHP type,"Type of historic place as defined by the US National Park Service. For instance National Historic Landmark, National Monument or National Battlefield.",nrhpType,HistoricPlace,
http://dbpedia.org/ontology/railwayLineUsingTunnel,railway line using tunnel,Railway line that is using the tunnel.,railwayLineUsingTunnel,RailwayTunnel,
http://dbpedia.org/ontology/routeEndLocation,route end location,The end location of the route.,routeEndLocation,RouteOfTransportation,Place
http://dbpedia.org/ontology/routeStartLocation,route start location,The start location of the route.,routeStartLocation,RouteOfTransportation,Place
http://dbpedia.org/ontology/school,school,school a person goes or went to,school,Person,EducationalInstitution
http://dbpedia.org/ontology/constructionMaterial,construction material,"Construction material (eg. concrete, steel, iron, stone, brick, wood).",constructionMaterial,ArchitecturalStructure,
http://dbpedia.org/ontology/formerBroadcastNetwork,former broadcast network,A former parent broadcast network to which the broadcaster once belonged.,formerBroadcastNetwork,Broadcaster,BroadcastNetwork
http://dbpedia.org/ontology/militaryRank,military rank,The highest rank achieved by a person.,militaryRank,MilitaryPerson,
http://dbpedia.org/ontology/rocketFunction,rocket function,purpose of the rocket,rocketFunction,Rocket,
http://dbpedia.org/ontology/significantProject,significant project,A siginificant artifact constructed by the person.,significantProject,Person,
http://dbpedia.org/ontology/sportCountry,sport country,"The country, for which the athlete is participating in championships",sportCountry,Athlete,Country
http://dbpedia.org/ontology/university,university,university a person goes or went to.,university,,EducationalInstitution
http://dbpedia.org/ontology/variantOf,variant or variation,"variant or variation of something, for example the variant of a car",variantOf,,
http://dbpedia.org/ontology/committeeInLegislature,committee in legislature,Committee in the legislature (eg.: Committee on Economic and Monetary Affairs of the European Parliament).,committeeInLegislature,Legislature,
http://dbpedia.org/ontology/comparable,comparable,"similar, unrelated rockets",comparable,Rocket,Rocket
http://dbpedia.org/ontology/focus,focus,Points out the subject or thing someone or something is focused on.,focus,,
http://dbpedia.org/ontology/specialization,specialization,Points out the subject or thing someone or something is specialized in (for).,specialization,,
http://dbpedia.org/ontology/organSystem,organ system,the organ system that a anatomical structure belongs to,organSystem,AnatomicalStructure,AnatomicalStructure
http://dbpedia.org/ontology/areaLand,area land (m2),area land (m2),areaLand,Place,Area
http://dbpedia.org/ontology/beatifiedDate,beatified date,beatified date,beatifiedDate,Saint,
http://dbpedia.org/ontology/broadcastTranslator,broadcast translator,broadcast translator,broadcastTranslator,Broadcaster,
http://dbpedia.org/ontology/cylinderCount,cylinder count,cylinder count,cylinderCount,Locomotive,
http://dbpedia.org/ontology/geneReviewsId,geneReviewsId,geneReviewsId,geneReviewsId,Disease,
http://dbpedia.org/ontology/geneReviewsName,geneReviewsName,geneReviewsName,geneReviewsName,Disease,
http://dbpedia.org/ontology/icaoLocationIdentifier,ICAO Location Identifier,ICAO Location Identifier,icaoLocationIdentifier,Airport,
http://dbpedia.org/ontology/lengthReference,length reference,length reference,lengthReference,RouteOfTransportation,
http://dbpedia.org/ontology/locusSupplementaryData,locus supplementary data,locus supplementary data,locusSupplementaryData,Protein,
http://dbpedia.org/ontology/numberOfStudents,number of students,number of students,numberOfStudents,EducationalInstitution,
http://dbpedia.org/ontology/numberOfVolunteers,number of volunteers,number of volunteers,numberOfVolunteers,Organisation,
http://dbpedia.org/ontology/toll,toll ($),toll ($),toll,RouteOfTransportation,Currency
http://dbpedia.org/ontology/tradingName,trading name,trading name,tradingName,Company,
http://dbpedia.org/ontology/lastPosition,last position,last position,lastPosition,FormulaOneRacer,
http://dbpedia.org/ontology/numberOfVineyards,number of vineyards,number of vineyards,numberOfVineyards,WineRegion,
http://dbpedia.org/ontology/academicAdvisor,academic advisor,academic advisor,academicAdvisor,Scientist,Person
http://dbpedia.org/ontology/aircraftElectronic,aircraft electronic,aircraft electronic,aircraftElectronic,MilitaryUnit,MeanOfTransportation
http://dbpedia.org/ontology/aircraftInterceptor,aircraft interceptor,aircraft interceptor,aircraftInterceptor,MilitaryUnit,MeanOfTransportation
http://dbpedia.org/ontology/alongside,alongside,alongside,alongside,,Person
http://dbpedia.org/ontology/appointer,appointer,appointer,appointer,,Person
http://dbpedia.org/ontology/automobilePlatform,automobile platform,automobile platform,automobilePlatform,Automobile,Automobile
http://dbpedia.org/ontology/beatifiedBy,beatified by,beatified by,beatifiedBy,Saint,Person
http://dbpedia.org/ontology/beatifiedPlace,beatified place,beatified place,beatifiedPlace,Saint,PopulatedPlace
http://dbpedia.org/ontology/billed,billed,billed,billed,Wrestler,PopulatedPlace
http://dbpedia.org/ontology/board,board,board,board,Person,
http://dbpedia.org/ontology/breeder,breeder,breeder,breeder,Animal,Person
http://dbpedia.org/ontology/ceo,chief executive officer,chief executive officer,ceo,Organisation,Person
http://dbpedia.org/ontology/chef,chef,chef,chef,Restaurant,Person
http://dbpedia.org/ontology/citizenship,citizenship,citizenship,citizenship,Person,
http://dbpedia.org/ontology/college,college,college,college,Person,EducationalInstitution
http://dbpedia.org/ontology/councilArea,Council area,Council area,councilArea,PopulatedPlace,PopulatedPlace
http://dbpedia.org/ontology/currency,currency,currency,currency,,Currency
http://dbpedia.org/ontology/dam,dam,dam,dam,Animal,Animal
http://dbpedia.org/ontology/damsire,damsire,damsire,damsire,Animal,Animal
http://dbpedia.org/ontology/dean,dean,dean,dean,EducationalInstitution,Person
http://dbpedia.org/ontology/debutTeam,debut team,debut team,debutTeam,Athlete,SportsTeam
http://dbpedia.org/ontology/doctoralAdvisor,doctoral advisor,doctoral advisor,doctoralAdvisor,Scientist,Person
http://dbpedia.org/ontology/doctoralStudent,doctoral student,doctoral student,doctoralStudent,Scientist,Person
http://dbpedia.org/ontology/draftTeam,draft team,draft team,draftTeam,Athlete,SportsTeam
http://dbpedia.org/ontology/educationSystem,education system,education system,educationSystem,EducationalInstitution,
http://dbpedia.org/ontology/engineType,engine type,engine type,engineType,MeanOfTransportation,
http://dbpedia.org/ontology/equipment,equipment,equipment,equipment,Activity,
http://dbpedia.org/ontology/era,era,era,era,,
http://dbpedia.org/ontology/father,father,father,father,Man,Person
http://dbpedia.org/ontology/foundationPlace,foundation place,foundation place,foundationPlace,Organisation,City
http://dbpedia.org/ontology/fuelSystem,fuel system,fuel system,fuelSystem,AutomobileEngine,
http://dbpedia.org/ontology/fuelType,fuel type,fuel type,fuelType,,
http://dbpedia.org/ontology/grades,grades,grades,grades,School,
http://dbpedia.org/ontology/grandsire,grandsire,grandsire,grandsire,Animal,Animal
http://dbpedia.org/ontology/highschool,highschool,highschool,highschool,,School
