id,label,desc,id_no_prefix
0,Visitor ID,A unique identifier for the visitor,VisitorID
1,Basket Click,Did the visitor click on the shopping basket icon?,BasketClick
2,List Add,Did the visitor add a product to their shopping cart on the 'list' page?,ListAdd
3,Detail Add,Did the visitor add a product to their shopping cart on the 'detail' page?,DetailAdd
4,Sort Products,Did the visitor sort products on a page?,SortProducts
5,Image Picker,Did the visitor use the image picker?,ImagePicker
6,Account Page,Did the visitor visit their account page?,AccountPage
7,Promo Banner,Did the visitor click on a promo banner?,PromoBanner
8,Wishlist Add,Did the visitor add a product to their wishlist from the 'detail' page?,WishlistAdd
9,Product Dropdown,Did the visitor interact with a product dropdown?,ProductDropdown
10,Mini Basket Close,Did the visitor close their mini shopping basket?,MiniBasketClose
11,Delivery FAQ,Did the visitor view the delivery FAQ area on a product page?,DeliveryFAQ
12,Returns FAQ,Did the visitor check the returns FAQ area on a product page?,ReturnsFAQ
13,Sign In,Did the visitor sign in to the website?,SignIn
14,Checkout View,Did the visitor view the checkout?,CheckoutView
15,Size Chart,Did the visitor view a product size chart?,SizeChart
16,Delivery FAQ Page,Did the visitor view the delivery FAQ page?,DeliveryFAQPage
17,Account Upgrade,Did the visitor view the account upgrade page?,AccountUpgrade
18,Homepage View,Did the visitor view the website homepage?,HomepageView
19,Mobile Device,Was the visitor on a mobile device?,MobileDevice
20,Desktop Device,Was the visitor on a desktop device?,DesktopDevice
21,Tablet Device,Was the visitor on a table device?,TabletDevice
22,New/Returning,Was the visitor new or returning?,New/Returning
23,UK Location,"Was the visitor located in the UK, based on their IP address?",UKLocation
24,Order Placed,Did the customer place an order?,OrderPlaced
25,Username,"The name of the user, as they’ve defined it.",Username
26,Location,The user-defined location for this account’s profile.,Location
27,Bio,The user-defined UTF-8 string describing their account.,Bio
28,Creation Date,"Time and date, when the account was created.",CreationDate
29,Followers,The number of followers an account currently has.,Followers
30,Friends,The number of friends an account currently has.,Friends
31,Favourites,The number of favourites an account currently has.,Favourites
32,Verified,"When true, indicates that the user has a verified account",Verified
33,Tweet Date,UTC time and date when the Tweet was created,TweetDate
34,Tweet Text,The actual UTF-8 text of the Tweet,TweetText
35,Hashtags,All the other hashtags posted in the tweet along with #covidvaccine,Hashtags
36,Source,"Utility used to post the Tweet, Tweets from the Twitter website have a source value - web",Source
37,Retweeted,Indicates whether this Tweet has been Retweeted by the authenticating user.,Retweeted
38,Tracking Number,The tracking number used to refer to this application or permit record in various DPD tracking systems.,TrackingNumber
39,Land Use Type,"Type of Land Use components covered by the application (SEPA, Platting action, etc.).",LandUseType
40,Address,Street address of the work site.,Address
41,Approval Description,"Brief description of the approval that is sought with this application. This is subject to change prior to issuance of the permit, but generally more stable if an issue date exists. Very long descriptions have been truncated.",ApprovalDescription
42,Building Use,"The broad category of use or occupancy for the building where work is proposed. Valid choices are Commercial, Industrial, Institutional, Multifamily, and Single Family/Duplex. Mixed use structures are generally represented as Commercial.",BuildingUse
43,Master Use Permit Type,The Type of Master Use Permit (which generally indicates an increasing degree of public comment involved in the process),MasterUsePermitType
44,Design Review,Indicates if Design Review is part of the application process for this permit.,DesignReview
45,Work Value,"The value of the work being reviewed (generally an estimate for the value of the future work) For example, the future construction cost of the building subject to Environmental review. Value is not collected for all permit types.",WorkValue
46,Primary Applicant,"The name of the person or company listed on the application as the “primary applicant”. This may be the property owner, contractor, design professional, or other type of agent.",PrimaryApplicant
47,Application Date,The date the application was accepted as a complete application. If no Application Date exists this generally means the application is in a very early stage.,ApplicationDate
48,Decision Date,"The date the Decision was published. If an Application Date exists but no Decision Date exists, this generally means the application is still under review.",DecisionDate
49,Appeal Received,Indicates whether an appeal to the published decision has been received.,AppealReceived
50,Issue Date,The date the application was issued as a valid Master Use Permit.,IssueDate
51,Status,The current status in the application/review/publication lifecycle. Indicates the last process step that was fully completed.,Status
52,Contractors,Contractor(s) who are associated with this permit.,Contractors
53,Permit Link,Link to view full details and current status information about this permit at DPD’s website,PermitLink
54,Latitude,Latitude of the worksite where permit activity occurs,Latitude
55,Longitude,Longitude of the worksite where permit activity occurs,Longitude
56,Mapping Coordinates,Mapping coordinates for the permit address.,MappingCoordinates
57,Clinical Trial ID,clinical trial ID in clinicaltrials.gov,ClinicalTrialID
58,Segment,segment of the original description of the entity in the clinical trial eligibility criteria source text,Segment
59,Concept ID,mapped concept ID in the standard vocabulary of the entity,ConceptID
60,Concept Name,mapped concept name in the standard vocabulary of the entity,ConceptName
61,Domain,"domain ('Drug','Condition','Procedure','Device','Measurement') of the concept",Domain
62,Start Position,the position in the criteria source text where the entity starts,StartPosition
63,End Position,the position in the criteria source text where the entity ends,EndPosition
64,Temporal Attribute,segment of the corresponded temporal attribute of the entity in original criteria text,TemporalAttribute
65,Normalized Temporal Attribute,normalized temporal attribute as the number of days,NormalizedTemporalAttribute
66,Numerical Attribute,segment of the corresponded numerical attribute of the entity in original criteria text,NumericalAttribute
67,Lower Bound,lower bound of the normalized numerical attribute,LowerBound
68,Upper Bound,upper bound of the normalized numerical attribute,UpperBound
69,Criteria Type,1' for exclusion criteria and '0' for inclusion criteria,CriteriaType
70,Activity Type,Type of activity covered by the permit.,ActivityType
71,Work Description,"Brief description of the work that will be done under this permit. This is subject to change prior to issuance of the permit, but generally more stable if an issue date exists. Very long descriptions have been truncated.",WorkDescription
72,Work Subclass,Subclassification for type of work being proposed. Valid choices will vary depending on the permit type.,WorkSubclass
73,Project Complexity,An indicator of the complexity of the project proposed. Easier projects can be issued without plan review; more complex projects generally require plan submittal and review.,ProjectComplexity
74,Work Value,"The value of the work being proposed. The value displayed (if any) represents the best available information to date, and is subject to change as more information becomes available. Value is not collected for all permit types.",WorkValue1
75,Application Date,The date the application was accepted as a complete submittal. If no Application Date exists this generally means the application is in a very early stage.,ApplicationDate1
76,Issue Date,"The date the application was issued as a valid permit. If an Application Date exists but no Issue Date exists, this generally means the application is still under review.",IssueDate1
77,Final Date,"The date the permit had all its inspections completed. If an Issue Date exists but no Final Date exists, this generally means the permit is still under inspection.",FinalDate
78,Expiration Date,"The date the application is due to expire. Generally, this is the date by which work is supposed to be completed (baring renewals or further extensions). If no Expiration Date exists, this generally means the application is has not been issued yet.",ExpirationDate
79,Status,The current status in the application/review/inspection lifecycle. Indicates the last process step that was fully completed.,Status1
80,Latitude,"Latitude of the worksite where permit activity occurs. May be missing for a small number of permits considered ""Unaddressable""",Latitude1
81,Longitude,"Longitude of the worksite where permit activity occurs. May be missing for a small number of permits considered ""Unaddressable""",Longitude1
82,Defaulted,1 = client defaulted on loan 0 = loan repaid,Defaulted
83,Loan Amount,Amount of the loan request,LoanAmount
84,Mortgage Due,Amount due on existing mortgage,MortgageDue
85,Property Value,Value of current property,PropertyValue
86,Loan Purpose,DebtCon = debt consolidation HomeImp = home improvement,LoanPurpose
87,Occupation,Six occupational categories,Occupation
88,Job Years,Years at present job,JobYears
89,Derogatory Reports,Number of major derogatory reports,DerogatoryReports
90,Delinquent Lines,Number of delinquent credit lines,DelinquentLines
91,Oldest Trade,Age of oldest trade line in months,OldestTrade
92,Recent Lines,Number of recent credit lines,RecentLines
93,Total Lines,Number of credit lines,TotalLines
94,DTI Ratio,Debt-to-income ratio,DTIRatio
95,Index,unique index,Index
96,File Path,relative path to the file,FilePath
97,Has Bee,1 if the photo contains a bee,HasBee
98,Has Wasp,1 if the photo contains a wasp,HasWasp
99,Has Insect,1 if the photo contains other insect,HasInsect
100,No Insect,"1 if the photo does not contain bee, wasp or insect",NoInsect
101,High Confidence,"1 for images considered to be high confidence, 0 otherwise",HighConfidence
102,Validation,use these observations as validation,Validation
103,Final Validation,use these observations for final validation,FinalValidation
104,Class Name,"text name of the class - bee, wasp, insect, other",ClassName
105,Rank,"Official ranking, ""C"" denotes champion",Rank
106,Fighter,Fighter name,Fighter
107,Age,Fighter age,Age
108,Weight,Fighter weight (in pounds),Weight
109,Gender,Fighter gender,Gender
110,Height,Fighter height (in inches),Height
111,UFC Wins,Wins in UFC organization,UFCWins
112,UFC Losses,Loses in UFC organization,UFCLosses
113,UFC Draws,Draws in UFC organization. Blank if 0.,UFCDraws
114,UFC NC,No contests in UFC organization. Blank if 0.,UFCNC
115,Pro Wins,Wins in any professional MMA organization.,ProWins
116,Pro Losses,Loses in any professional MMA organization.,ProLosses
117,Pro Draws,Draws in any professional MMA organization. Blank if 0.,ProDraws
118,Pro NC,No contests in any professional MMA organization. Blank if 0.,ProNC
119,Shoe ID,Shoe identifier,ShoeID
120,Cards Remaining,Number of cards remaining in the shoe at the start of this round,CardsRemaining
121,Dealer Up,Dealer's Up (visible) card,DealerUp
122,Player Cards,Player's initial 2 cards before making any decisions,PlayerCards
123,Dealer End,Dealer's cards at the end of the round,DealerEnd
124,Dealer Value,Value of the Dealer's hand value at the end of the round,DealerValue
125,Player End,Player's cards at the end of the round,PlayerEnd
126,Player Value,Player's hand(s) value(s) at the end of the round,PlayerValue
127,Player Actions,Sequence of actions taken by the player,PlayerActions
128,Hi-Lo Run,Hi-Lo run count at the start of the round,Hi-LoRun
129,Hi-Lo True,Hi-Lo true count at the start of the round,Hi-LoTrue
130,Round Result,Amount won/lost this round,RoundResult
131,Age Group,Subject Age Group (10 year increments) as reported by the officer.,AgeGroup
132,Subject Key,"Key, generated daily, identifying unique subjects in the dataset using a character to character match of first name and last name. ""Null"" values indicate an ""anonymous"" or ""unidentified"" subject. Subjects of a Terry Stop are not required to present identification.",SubjectKey
133,Offense Number,"General Offense or Street Check number, relating the Terry Stop to the parent report. This field may have a one to many relationship in the data.",OffenseNumber
134,Terry Stop Key,Key identifying unique Terry Stop reports.,TerryStopKey
135,Stop Resolution,Resolution of the stop as reported by the officer.,StopResolution
136,Weapon Type,"Type of weapon, if any, identified during a search or frisk of the subject. Indicates ""None"" if no weapons was found.",WeaponType
137,Officer Key,Key identifying unique officers in the dataset.,OfficerKey
138,Officer Birth Year,"Year of birth, as reported by the officer.",OfficerBirthYear
139,Officer Gender,"Gender of the officer, as reported by the officer.",OfficerGender
140,Officer Race,"Race of the officer, as reported by the officer.",OfficerRace
141,Subject Race,"Perceived race of the subject, as reported by the officer.",SubjectRace
142,Subject Gender,"Perceived gender of the subject, as reported by the officer.",SubjectGender
143,Report Date,Date the report was filed in the Records Management System (RMS). Not necessarily the date the stop occurred but generally within 1 day.,ReportDate
144,Report Time,Time the stop was reported in the Records Management System (RMS). Not the time the stop occurred but generally within 10 hours.,ReportTime
145,Initial Call Type,Initial classification of the call as assigned by 911.,InitialCallType
146,Final Call Type,Final classification of the call as assigned by the primary officer closing the event.,FinalCallType
147,Call Receipt,How the call was received by the communication center.,CallReceipt
